Session,start,End,Name,State,Party,Body,Session
41st (1869-1871),1869,1871,"LONG, Jefferson Franklin",GA,Republican,House,41
41st (1869-1871),1869,1871,"RAINEY, Joseph Hayne",SC,Republican,House,41
41st (1869-1871),1869,1871,"REVELS, Hiram Rhodes",MS,Republican,Senate,41
42nd (1871-1873),1871,1873,,,,,42
42nd (1871-1873),1871,1873,"DE LARGE, Robert Carlos",SC,Republican,House,42
42nd (1871-1873),1871,1873,"ELLIOTT, Robert Brown",SC,Republican,House,42
42nd (1871-1873),1871,1873,"RAINEY, Joseph Hayne",SC,Republican,House,42
42nd (1871-1873),1871,1873,"TURNER, Benjamin Sterling",AL,Republican,House,42
42nd (1871-1873),1871,1873,"WALLS, Josiah Thomas",FL,Republican,House,42
43rd (1873-1875),1873,1875,,,,,43
43rd (1873-1875),1873,1875,"CAIN, Richard Harvey",SC,Republican,House,43
43rd (1873-1875),1873,1875,"ELLIOTT, Robert Brown",SC,Republican,House,43
43rd (1873-1875),1873,1875,"LYNCH, John Roy",MS,Republican,House,43
43rd (1873-1875),1873,1875,"RAINEY, Joseph Hayne",SC,Republican,House,43
43rd (1873-1875),1873,1875,"RANSIER, Alonzo Jacob",SC,Republican,House,43
43rd (1873-1875),1873,1875,"RAPIER, James Thomas",AL,Republican,House,43
43rd (1873-1875),1873,1875,"WALLS, Josiah Thomas",FL,Republican,House,43
44th (1875-1877),1875,1877,,,,,44
44th (1875-1877),1875,1877,"BRUCE, Blanche Kelso",MS,Republican,Senate,44
44th (1875-1877),1875,1877,"HARALSON, Jeremiah",AL,Republican,House,44
44th (1875-1877),1875,1877,"HYMAN, John Adams",NC,Republican,House,44
44th (1875-1877),1875,1877,"LYNCH, John Roy",MS,Republican,House,44
44th (1875-1877),1875,1877,"NASH, Charles Edmund",LA,Republican,House,44
44th (1875-1877),1875,1877,"RAINEY, Joseph Hayne",SC,Republican,House,44
44th (1875-1877),1875,1877,"SMALLS, Robert",SC,Republican,House,44
44th (1875-1877),1875,1877,"WALLS, Josiah Thomas",FL,Republican,House,44
45th (1877-1879),1877,1879,,,,,45
45th (1877-1879),1877,1879,"BRUCE, Blanche Kelso",MS,Republican,Senate,45
45th (1877-1879),1877,1879,"CAIN, Richard Harvey",SC,Republican,House,45
45th (1877-1879),1877,1879,"RAINEY, Joseph Hayne",SC,Republican,House,45
45th (1877-1879),1877,1879,"SMALLS, Robert",SC,Republican,House,45
46th (1879-1881),1879,1881,,,,,46
46th (1879-1881),1879,1881,"BRUCE, Blanche Kelso",MS,Republican,Senate,46
47th (1881-1883),1881,1883,,,,,47
47th (1881-1883),1881,1883,"LYNCH, John Roy",MS,Republican,House,47
47th (1881-1883),1881,1883,"SMALLS, Robert",SC,Republican,House,47
48th (1883-1885),1883,1885,,,,,48
48th (1883-1885),1883,1885,"O'HARA, James Edward",NC,Republican,House,48
48th (1883-1885),1883,1885,"SMALLS, Robert",SC,Republican,House,48
49th (1885-1887),1885,1887,,,,,49
49th (1885-1887),1885,1887,"O'HARA, James Edward",NC,Republican,House,49
49th (1885-1887),1885,1887,"SMALLS, Robert",SC,Republican,House,49
51st (1889-1891),1889,1891,,,,,51
51st (1889-1891),1889,1891,"CHEATHAM, Henry Plummer",NC,Republican,House,51
51st (1889-1891),1889,1891,"LANGSTON, John Mercer",VA,Republican,House,51
51st (1889-1891),1889,1891,"MILLER, Thomas Ezekiel",SC,Republican,House,51
52nd (1891-1893),1891,1893,,,,,52
52nd (1891-1893),1891,1893,"CHEATHAM, Henry Plummer",NC,Republican,House,52
53rd (1893-1895),1893,1895,,,,,53
53rd (1893-1895),1893,1895,"MURRAY, George Washington",SC,Republican,House,53
54th (1895-1897),1895,1897,,,,,54
54th (1895-1897),1895,1897,"MURRAY, George Washington",SC,Republican,House,54
55th (1897-1899),1897,1899,,,,,55
55th (1897-1899),1897,1899,"WHITE, George Henry",NC,Republican,House,55
56th (1899-1901),1899,1901,,,,,56
56th (1899-1901),1899,1901,"WHITE, George Henry",NC,Republican,House,56
71st (1929-1931),1929,1931,,,,,71
71st (1929-1931),1929,1931,"DE PRIEST, Oscar Stanton",IL,Republican,House,71
72nd (1931-1933),1931,1933,,,,,72
72nd (1931-1933),1931,1933,"DE PRIEST, Oscar Stanton",IL,Republican,House,72
73rd (1933-1935),1933,1935,,,,,73
73rd (1933-1935),1933,1935,"DE PRIEST, Oscar Stanton",IL,Republican,House,73
74th (1935-1937),1935,1937,,,,,74
74th (1935-1937),1935,1937,"MITCHELL, Arthur Wergs",IL,Democrat,House,74
75th (1937-1939),1937,1939,,,,,75
75th (1937-1939),1937,1939,"MITCHELL, Arthur Wergs",IL,Democrat,House,75
76th (1939-1941),1939,1941,,,,,76
76th (1939-1941),1939,1941,"MITCHELL, Arthur Wergs",IL,Democrat,House,76
77th (1941-1943),1941,1943,,,,,77
77th (1941-1943),1941,1943,"MITCHELL, Arthur Wergs",IL,Democrat,House,77
78th (1943-1945),1943,1945,,,,,78
78th (1943-1945),1943,1945,"DAWSON, William Levi",IL,Democrat,House,78
79th (1945-1947),1945,1947,,,,,79
79th (1945-1947),1945,1947,"DAWSON, William Levi",IL,Democrat,House,79
79th (1945-1947),1945,1947,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,79
80th (1947-1949),1947,1949,,,,,80
80th (1947-1949),1947,1949,"DAWSON, William Levi",IL,Democrat,House,80
80th (1947-1949),1947,1949,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,80
81st (1949-1951),1949,1951,,,,,81
81st (1949-1951),1949,1951,"DAWSON, William Levi",IL,Democrat,House,81
81st (1949-1951),1949,1951,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,81
82nd (1951-1953),1951,1953,,,,,82
82nd (1951-1953),1951,1953,"DAWSON, William Levi",IL,Democrat,House,82
82nd (1951-1953),1951,1953,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,82
83rd (1953-1955),1953,1955,,,,,83
83rd (1953-1955),1953,1955,"DAWSON, William Levi",IL,Democrat,House,83
83rd (1953-1955),1953,1955,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,83
84th (1955-1957),1955,1957,,,,,84
84th (1955-1957),1955,1957,"DAWSON, William Levi",IL,Democrat,House,84
84th (1955-1957),1955,1957,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,84
84th (1955-1957),1955,1957,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,84
85th (1957-1959),1957,1959,,,,,85
85th (1957-1959),1957,1959,"DAWSON, William Levi",IL,Democrat,House,85
85th (1957-1959),1957,1959,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,85
85th (1957-1959),1957,1959,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,85
85th (1957-1959),1957,1959,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,85
86th (1959-1961),1959,1961,,,,,86
86th (1959-1961),1959,1961,"DAWSON, William Levi",IL,Democrat,House,86
86th (1959-1961),1959,1961,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,86
86th (1959-1961),1959,1961,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,86
86th (1959-1961),1959,1961,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,86
87th (1961-1963),1961,1963,,,,,87
87th (1961-1963),1961,1963,"DAWSON, William Levi",IL,Democrat,House,87
87th (1961-1963),1961,1963,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,87
87th (1961-1963),1961,1963,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,87
87th (1961-1963),1961,1963,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,87
88th (1963-1965),1963,1965,,,,,88
88th (1963-1965),1963,1965,"DAWSON, William Levi",IL,Democrat,House,88
88th (1963-1965),1963,1965,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,88
88th (1963-1965),1963,1965,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,88
88th (1963-1965),1963,1965,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,88
88th (1963-1965),1963,1965,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,88
89th (1965-1967),1965,1967,,,,,89
89th (1965-1967),1965,1967,"CONYERS, John, Jr.",MI,Democrat,House,89
89th (1965-1967),1965,1967,"DAWSON, William Levi",IL,Democrat,House,89
89th (1965-1967),1965,1967,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,89
89th (1965-1967),1965,1967,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,89
89th (1965-1967),1965,1967,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,89
89th (1965-1967),1965,1967,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,89
90th (1967-1969),1967,1969,,,,,90
90th (1967-1969),1967,1969,"BROOKE, Edward William, III",MA,Republican,Senate,90
90th (1967-1969),1967,1969,"CONYERS, John, Jr.",MI,Democrat,House,90
90th (1967-1969),1967,1969,"DAWSON, William Levi",IL,Democrat,House,90
90th (1967-1969),1967,1969,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,90
